NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667655,667655,1,106,9041696,85299.0,85136.0,53568,94144,6576.8,sm80_xmma_gemm_i8f32_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_fused
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667655,667655,1,28,6484896,231603.4,231632.0,228960,234688,1684.0,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_fused
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667655,667655,1,26,6357440,244516.9,241984.0,235648,303200,12349.8,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667655,667655,1,27,3803296,140862.8,140672.0,138240,143744,1306.7,sm80_xmma_gemm_i8i8_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_fused
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667655,667655,1,28,1419648,50701.7,50672.0,49856,51680,514.2,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667655,667655,1,28,917376,32763.4,33184.0,30752,33664,847.5,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667655,667655,1,27,868480,32165.9,31968.0,31520,35104,740.0,__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra_0x5aea462b6a819ceadd3ebb32874c078f
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667655,667655,1,27,803168,29747.0,29728.0,28128,31648,781.4,__myl_ResConResRep_0x9d40828c020eb6bb972be950c35191c1
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667655,667655,1,4,792704,198176.0,183456.0,170528,255264,39674.6,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_fused
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667655,667655,1,3,714560,238186.7,237440.0,233856,243264,4748.2,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
