NVTX Range,Style,PID,TID,NVTX Inst,Kern Inst,Total Time (ns),Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667830,667830,1,28,6522816,232957.7,233056.0,227296,238048,2236.3,sm80_xmma_gemm_f16f16_f16f16_f16_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_fused
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667830,667830,1,26,6366624,244870.2,242304.0,235712,310048,13570.0,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667830,667830,1,27,3809312,141085.6,140960.0,137760,144160,1325.0,sm80_xmma_gemm_i8i8_i8i32_f32_tn_n_tilesize32x64x64_stage6_warpsize2x2x1_tensor16x8x32_fused
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667830,667830,1,28,1443328,51547.4,51712.0,50176,52800,667.0,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize64x128x32_stage5_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667830,667830,1,28,922304,32939.4,33248.0,30880,33664,635.1,sm80_xmma_gemm_f16f16_f16f32_f32_nn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_aligna2_alignc2_execute_kernel_trt
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667830,667830,1,27,863200,31970.4,31840.0,31104,32960,549.3,__myl_AddSqrDivMulMulResSliSliNegConMulMulAddConResRepResTra_0x5aea462b6a819ceadd3ebb32874c078f
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667830,667830,1,4,823040,205760.0,194128.0,172576,262208,38984.6,sm80_xmma_gemm_f16f16_f16f16_f16_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_fused
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667830,667830,1,27,799296,29603.6,29472.0,27584,31136,825.6,__myl_ResConResRep_0x9d40828c020eb6bb972be950c35191c1
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667830,667830,1,3,727328,242442.7,240960.0,239520,246848,3882.5,sm80_xmma_gemm_f16f16_f16f32_f32_tn_n_tilesize32x32x64_stage6_warpsize2x2x1_tensor16x8x16_execute_kernel_trt
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667830,667830,1,26,468256,18009.8,17936.0,17824,18624,202.2,__myl_MulMeaAddSqrDivMulDivMinMaxRouCasDivMinMaxRouCasDivMinMaxRouCas_0x9f2c300bb597625319cadec4728f9bc5
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667830,667830,1,28,461856,16494.9,16464.0,15776,17728,337.9,__myl_MulMaxSubExpSumDivMul_0x1108f5a078d6e65507c06537b9b2e43f
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667830,667830,1,27,341664,12654.2,12672.0,11008,14272,613.3,__myl_ResMulMea_0x3c91498c3beee36a5653966af1581a8a
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667830,667830,1,27,318080,11780.7,12096.0,11072,12736,538.7,__myl_ResMulMea_0xf2413012cd9ac6341b95d78f3432c656
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667830,667830,1,27,306752,11361.2,11392.0,9888,12064,394.1,__myl_AddSqrDivMulMulResSliSliNegConMulMulAdd_0xf1ba08cc3beaba8ee91b0504be9c2cf4
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667830,667830,1,1,39680,39680.0,39680.0,39680,39680,0.0,__myl_CasResMulConSinResCosResAddSqrAddSqrDivMulDivMulMulResSliSliNegConMulMulAddConResRepResTraEtc_0x3beb58e4cd3dae3f69eebdbcbcc43980
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667830,667830,1,1,27904,27904.0,27904.0,27904,27904,0.0,__myl_MovResConResRep_0xeb90291bbf009f8413c8500b92afa70a
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667830,667830,1,2,27392,13696.0,13696.0,13184,14208,724.1,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xc17a9e1c8880e75049e64b4f3bf21f16
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667830,667830,1,2,27136,13568.0,13568.0,13088,14048,678.8,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x6cfe86dd6e4d3c2d552f909cb133c113
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667830,667830,1,2,25984,12992.0,12992.0,12736,13248,362.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xcf81b38212e8f296e353aae060904a23
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667830,667830,1,2,25056,12528.0,12528.0,12448,12608,113.1,__myl_MulMeaAddSqrDivMulMul_0x8548fa9a57c713be1fdaa27c95458b99
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667830,667830,1,1,24928,24928.0,24928.0,24928,24928,0.0,__myl_MovMulMeaAddSqrDivMulDivMinMaxRouCasDivMinMaxRouCasDivMinMaxRouCas_0xda00efdea1fdf9ffc7ce7052979834ac
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667830,667830,1,2,24352,12176.0,12176.0,10432,13920,2466.4,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xd756cf8085615be8f2df33c74bb9ac74
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667830,667830,1,1,19232,19232.0,19232.0,19232,19232,0.0,__myl_CasGat_0xdee2c73dd5d0e0fe099a0774cba2143f
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667830,667830,1,2,17792,8896.0,8896.0,8800,8992,135.8,__myl_MulMinMaxRouCas_0x774908550917e749f75db6185bcae83f
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667830,667830,1,1,16800,16800.0,16800.0,16800,16800,0.0,__myl_MovMulMeaAddSqrDivMulMulCas_0x62665ed68e2d72f01be2ec50e848f2e2_vec
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667830,667830,1,1,14080,14080.0,14080.0,14080,14080,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x9b99130746ee47ec2d15b111319f425e
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667830,667830,1,1,13952,13952.0,13952.0,13952,13952,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xf2d64d0cef819045fc9d252a6b31181b
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667830,667830,1,1,13888,13888.0,13888.0,13888,13888,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x2d193f06c4770a0b130c316a9152d3bb
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667830,667830,1,1,13888,13888.0,13888.0,13888,13888,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x8b0f22c4a2121702a93d8623b5a12ae4
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667830,667830,1,1,13888,13888.0,13888.0,13888,13888,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xa203a21bb9a2ead322f314c5ed6c45fd
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667830,667830,1,1,13888,13888.0,13888.0,13888,13888,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xb633f57e2e22833f593c4f215c79f20a
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667830,667830,1,1,13856,13856.0,13856.0,13856,13856,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xbc9bffbf2b5683589f7ee804485f8f6c
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667830,667830,1,1,13664,13664.0,13664.0,13664,13664,0.0,__myl_MovResMulMea_0x8729692710be644f17c7f997918851be
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667830,667830,1,1,13600,13600.0,13600.0,13600,13600,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xe944abd3db8709490013ec56e805a4c9
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667830,667830,1,1,13408,13408.0,13408.0,13408,13408,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xeadba79c8105dff3fdb08ce085e7b12c
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667830,667830,1,1,13216,13216.0,13216.0,13216,13216,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x84ef5602e3183b8229f8022d6e6eb74f
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667830,667830,1,1,12800,12800.0,12800.0,12800,12800,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xd65f433ff7b34abefa6995ce894b46a3
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667830,667830,1,1,12576,12576.0,12576.0,12576,12576,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xdba6260d6d388ff570fe95b3f4430bd0
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667830,667830,1,1,12416,12416.0,12416.0,12416,12416,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xa03da8bd0547b3997e4af5d64a9f7047
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667830,667830,1,1,12256,12256.0,12256.0,12256,12256,0.0,__myl_MovResMulMea_0x61ec5b9962acde3fddf5628b2e6fd459
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667830,667830,1,1,12192,12192.0,12192.0,12192,12192,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x77624facc1459ff2bf110c24ed8021c9
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667830,667830,1,1,12192,12192.0,12192.0,12192,12192,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0xb2a73dcdcb246645ed7bcf4e6ce7b3cc
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667830,667830,1,1,10464,10464.0,10464.0,10464,10464,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x4119fc4c6529add99aa14081dbc16ecb
:PHASE3B_STEADY_DECODE_STEP_1,PushPop,667830,667830,1,1,10432,10432.0,10432.0,10432,10432,0.0,__myl_MulMeaAddSqrDivMulMulMulMinMaxRouCas_0x2b4860727aa16b8274c6a9e412ad0345
